"id","state","year","count","rate"
"18","Indiana",2005,14542,227.9
"18","Indiana",2006,14375,220.8
"18","Indiana",2007,13682,205.9
"18","Indiana",2008,13663,201.6
"18","Indiana",2009,13509,196.7
"18","Indiana",2010,13388,191.8
"18","Indiana",2011,13372,187.2
"18","Indiana",2012,13675,188.4
"18","Indiana",2013,13773,186.2
"18","Indiana",2014,13764,182.7
"18","Indiana",2015,13948,182.3
"19","Iowa",1999,8699,240.3
"19","Iowa",2000,8559,236.1
"19","Iowa",2001,8250,225.1
"19","Iowa",2002,8181,221.5
"19","Iowa",2003,7840,210.9
"19","Iowa",2004,7299,195
"19","Iowa",2005,7437,196.6
"19","Iowa",2006,7172,187.1
"19","Iowa",2007,6880,177.2
"19","Iowa",2008,7284,185.5
"19","Iowa",2009,6938,176.1
"19","Iowa",2010,6880,173.3
"19","Iowa",2011,6736,166
"19","Iowa",2012,7005,170.4
"19","Iowa",2013,6995,168.9
"19","Iowa",2014,6615,157.3
"19","Iowa",2015,6813,160.9
"20","Kansas",1999,6975,237
"20","Kansas",2000,6931,234.2
"20","Kansas",2001,6716,225.6
"20","Kansas",2002,6680,223.2
"20","Kansas",2003,6491,214.7
"20","Kansas",2004,6048,198.9
"20","Kansas",2005,5960,192.6
"20","Kansas",2006,5849,186.3
"20","Kansas",2007,5749,180.8
"20","Kansas",2008,5643,175.4
"20","Kansas",2009,5294,163
"20","Kansas",2010,5433,164.9
"20","Kansas",2011,5327,158.3
"20","Kansas",2012,5366,158.2
"20","Kansas",2013,5364,156.1
"20","Kansas",2014,5479,157.4
"20","Kansas",2015,5624,158.5
"21","Kentucky",1999,12098,310.9
"21","Kentucky",2000,11936,303.6
"21","Kentucky",2001,11808,297.3
"21","Kentucky",2002,11696,292.2
"21","Kentucky",2003,11319,279.2
"21","Kentucky",2004,10465,254.8
"21","Kentucky",2005,10782,257.3
"21","Kentucky",2006,10353,241.4
"21","Kentucky",2007,9916,227
"21","Kentucky",2008,10061,225.5
"21","Kentucky",2009,9728,214.3
"21","Kentucky",2010,9662,210.1
"21","Kentucky",2011,9905,210
"21","Kentucky",2012,10024,208.2
"21","Kentucky",2013,9971,203.4
"21","Kentucky",2014,10013,200.5
"21","Kentucky",2015,10077,197.8
"22","Louisiana",1999,12007,302.3
"22","Louisiana",2000,11629,288.7
"22","Louisiana",2001,11474,282.6
"22","Louisiana",2002,11185,272.4
"22","Louisiana",2003,11540,277.5
"22","Louisiana",2004,10852,257.9
"22","Louisiana",2005,11008,256.9
"22","Louisiana",2006,10026,241.4
"22","Louisiana",2007,9947,234.9
"22","Louisiana",2008,10347,238.5
"22","Louisiana",2009,10169,229.9
"22","Louisiana",2010,10282,229.4
"22","Louisiana",2011,9781,212.4
"22","Louisiana",2012,10074,213.1
"22","Louisiana",2013,10346,214.1
"22","Louisiana",2014,10647,216.3
"22","Louisiana",2015,10665,212.1
"23","Maine",1999,3418,238.7
"23","Maine",2000,3400,233.9
"23","Maine",2001,3272,220.7
"23","Maine",2002,3170,210.6
"23","Maine",2003,3106,203
"23","Maine",2004,2948,189.9
"23","Maine",2005,2941,186.5
"23","Maine",2006,2815,174.3
"23","Maine",2007,2852,173
"23","Maine",2008,2785,164.6
"23","Maine",2009,2674,156.4
"23","Maine",2010,2628,151.1
"23","Maine",2011,2648,149.5
"23","Maine",2012,2623,145.9
"23","Maine",2013,2807,152.3
"23","Maine",2014,2776,147.9
"23","Maine",2015,3009,157.3
"24","Maryland",1999,12080,259.2
"24","Maryland",2000,12348,261.3
"24","Maryland",2001,12310,253.8
"24","Maryland",2002,12008,242.4
"24","Maryland",2003,12164,239.8
"24","Maryland",2004,11346,218.5
"24","Maryland",2005,11594,217.9
"24","Maryland",2006,11268,206.6
"24","Maryland",2007,11314,203
"24","Maryland",2008,11157,195.1
"24","Maryland",2009,11210,190.8
"24","Maryland",2010,10915,182.2
